age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,poutcome,cons_price_idx,y
102,blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,thu,210,1,nonexistent,93.444,0
53,technician,married,unknown,no,no,no,cellular,nov,fri,138,1,nonexistent,93.2,0
28,management,single,university.degree,no,yes,no,cellular,jun,thu,339,,success,94.055,1
39,services,,high.school,no,no,no,cellular,,fri,185,2,nonexistent,,0
55,retired,married,basic.4y,no,yes,,cellular,aug,fri,137,1,success,92.201,1
30,management,divorced,basic.4y,no,yes,no,cellular,jul,tue,68,8,,93.918,0
37,blue-collar,married,basic.4y,no,yes,no,cellular,may,thu,204,1,nonexistent,92.893,0
39,blue-collar,divorced,basic.9y,no,yes,no,cellular,may,fri,191,1,nonexistent,92.893,0
,admin.,married,university.degree,no,no,no,cellular,jun,mon,174,1,success,92.963,1
27,blue-collar,single,,no,yes,no,cellular,apr,thu,191,2,failure,93.075,0
34,housemaid,single,university.degree,no,no,no,telephone,may,fri,62,2,nonexistent,93.994,0
41,management,married,university.degree,no,yes,no,cellular,aug,thu,789,1,nonexistent,93.444,0
55,management,married,university.degree,no,no,no,cellular,aug,mon,372,3,nonexistent,93.444,1
33,services,divorced,high.school,no,,no,cellular,may,tue,75,5,nonexistent,92.893,0
26,admin.,married,high.school,no,no,yes,telephone,jun,mon,1021,1,nonexistent,94.465,0
52,services,married,high.school,unknown,yes,no,cellular,jul,thu,,2,nonexistent,93.918,0
35,services,married,high.school,no,no,no,cellular,apr,thu,1034,2,nonexistent,93.075,1
27,admin.,single,university.degree,no,no,no,telephone,oct,tue,540,1,nonexistent,93.798,1
28,blue-collar,married,basic.9y,unknown,no,no,telephone,may,thu,140,1,nonexistent,93.994,0
26,unemployed,single,basic.9y,no,yes,yes,cellular,jul,mon,104,4,nonexistent,93.918,0
41,unemployed,married,basic.9y,unknown,yes,no,telephone,apr,fri,246,1,failure,,0
35,blue-collar,single,unknown,no,no,yes,telephone,jun,fri,1114,1,nonexistent,94.465,0
40,admin.,married,university.degree,unknown,yes,no,telephone,jul,wed,340,1,nonexistent,93.918,0
32,technician,single,professional.course,no,no,no,cellular,jul,thu,35,1,nonexistent,93.918,0
41,blue-collar,married,high.school,no,yes,yes,cellular,jul,thu,241,3,nonexistent,93.918,0
34,entrepreneur,single,university.degree,no,yes,no,cellular,may,tue,168,2,nonexistent,92.893,0
49,technician,divorced,unknown,no,yes,yes,cellular,oct,thu,81,1,nonexistent,92.431,0
37,admin.,married,high.school,no,yes,no,cellular,apr,thu,226,1,success,93.075,0
35,blue-collar,married,basic.6y,unknown,yes,no,cellular,may,fri,746,2,nonexistent,92.893,0
,blue-collar,single,basic.4y,unknown,no,no,telephone,jul,tue,41,5,nonexistent,93.918,0
47,services,divorced,high.school,no,no,no,telephone,jun,tue,115,1,nonexistent,94.465,0
46,admin.,married,university.degree,no,no,no,cellular,may,thu,227,2,nonexistent,92.893,0
27,technician,married,professional.course,no,yes,no,cellular,may,mon,275,1,nonexistent,92.893,0
29,technician,married,high.school,no,yes,no,cellular,jun,fri,365,3,nonexistent,92.963,1
32,services,divorced,basic.9y,unknown,no,no,cellular,jul,wed,68,,nonexistent,93.918,0
36,blue-collar,married,basic.6y,unknown,no,no,cellular,may,wed,54,1,failure,92.893,0
29,blue-collar,married,basic.4y,no,yes,yes,cellular,jul,mon,93,1,nonexistent,93.918,0
47,technician,married,high.school,unknown,no,no,cellular,apr,mon,267,2,failure,93.075,0
44,blue-collar,married,basic.4y,no,yes,no,telephone,jun,mon,,25,nonexistent,94.465,0
54,management,married,university.degree,no,yes,yes,cellular,aug,thu,121,11,nonexistent,93.444,0
36,blue-collar,married,basic.9y,no,no,,telephone,may,thu,294,2,nonexistent,93.994,0
42,blue-collar,married,basic.4y,no,yes,no,telephone,may,wed,24,1,nonexistent,,0
44,blue-collar,married,basic.4y,no,no,no,cellular,jul,tue,345,5,nonexistent,93.918,0
72,retired,,basic.6y,no,yes,no,cellular,nov,wed,244,2,nonexistent,92.649,1
48,blue-collar,married,basic.9y,unknown,no,no,cellular,aug,tue,213,3,nonexistent,93.444,0
36,management,married,high.school,unknown,yes,no,cellular,nov,thu,371,1,nonexistent,93.2,0
35,housemaid,married,basic.4y,no,yes,no,cellular,aug,mon,87,1,nonexistent,93.444,0
43,entrepreneur,married,basic.6y,no,yes,no,cellular,may,mon,195,3,failure,92.893,0
56,retired,married,basic.4y,unknown,yes,no,cellular,aug,wed,102,1,nonexistent,93.444,0
42,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,fri,93,2,nonexistent,94.465,0
31,admin.,single,university.degree,no,yes,no,cellular,may,mon,244,1,nonexistent,92.893,0
32,technician,married,basic.9y,unknown,no,no,telephone,jun,thu,52,5,nonexistent,94.465,0
33,blue-collar,married,high.school,unknown,yes,yes,cellular,may,mon,164,2,,92.893,0
31,blue-collar,married,basic.6y,unknown,no,no,telephone,jun,wed,91,4,nonexistent,94.465,0
39,management,married,university.degree,no,yes,no,telephone,may,wed,68,1,nonexistent,93.994,0
30,blue-collar,married,high.school,no,no,no,telephone,may,mon,122,4,nonexistent,93.994,0
24,management,single,university.degree,no,yes,no,cellular,may,thu,45,4,failure,92.893,0
24,admin.,married,,no,no,yes,telephone,may,mon,61,1,nonexistent,93.994,0
38,blue-collar,married,professional.course,no,yes,no,telephone,may,wed,,4,nonexistent,93.994,0
,blue-collar,married,high.school,no,yes,no,telephone,jun,wed,126,12,nonexistent,94.465,0
41,technician,married,professional.course,no,no,no,telephone,may,tue,92,1,nonexistent,93.994,0
34,admin.,married,high.school,no,yes,yes,cellular,apr,fri,329,1,nonexistent,93.075,0
30,management,married,university.degree,no,no,no,cellular,mar,mon,116,1,nonexistent,92.843,1
37,admin.,married,university.degree,no,yes,no,cellular,nov,fri,450,1,nonexistent,93.2,0
68,retired,married,basic.4y,no,yes,no,cellular,jul,wed,665,1,nonexistent,92.469,0
31,admin.,single,high.school,no,no,no,cellular,jul,fri,168,2,nonexistent,93.918,0
48,technician,divorced,university.degree,no,yes,no,cellular,apr,thu,132,1,nonexistent,93.075,0
33,technician,married,professional.course,no,yes,no,telephone,may,mon,349,4,nonexistent,93.994,0
59,self-employed,single,university.degree,no,yes,no,telephone,may,fri,249,3,nonexistent,92.893,0
44,blue-collar,married,unknown,unknown,yes,no,telephone,may,tue,336,3,nonexistent,93.994,0
28,unknown,single,unknown,unknown,yes,no,telephone,jun,thu,169,1,nonexistent,94.465,0
50,management,married,university.degree,no,no,no,cellular,aug,tue,89,3,success,92.201,0
33,entrepreneur,married,university.degree,no,no,no,cellular,nov,thu,55,1,nonexistent,93.2,0
45,services,married,professional.course,no,yes,no,telephone,may,mon,221,1,nonexistent,93.994,0
40,management,married,university.degree,no,no,no,cellular,jul,mon,77,2,nonexistent,93.918,0
45,services,married,professional.course,no,no,no,telephone,aug,thu,64,18,nonexistent,,0
43,technician,divorced,university.degree,unknown,no,no,telephone,may,mon,62,2,nonexistent,93.994,0
54,blue-collar,married,professional.course,unknown,yes,yes,telephone,may,mon,198,3,nonexistent,93.994,0
53,technician,divorced,professional.course,no,no,no,telephone,may,tue,249,1,nonexistent,93.994,0
35,self-employed,single,university.degree,no,yes,no,cellular,jul,thu,106,1,nonexistent,93.918,0
30,technician,single,professional.course,no,yes,no,cellular,aug,fri,445,1,nonexistent,93.444,0
25,technician,married,professional.course,no,yes,no,telephone,jun,wed,,2,nonexistent,94.465,0
35,services,divorced,professional.course,no,no,yes,cellular,aug,thu,66,1,nonexistent,93.444,0
,admin.,married,university.degree,no,yes,no,cellular,mar,mon,415,,nonexistent,92.843,1
30,blue-collar,married,basic.6y,no,no,no,cellular,jul,mon,173,2,nonexistent,93.918,0
38,admin.,married,university.degree,unknown,yes,no,cellular,aug,tue,173,1,nonexistent,93.444,0
35,admin.,married,university.degree,no,yes,no,cellular,oct,thu,86,1,failure,92.431,0
47,blue-collar,married,professional.course,unknown,yes,no,telephone,may,wed,131,1,nonexistent,93.994,0
32,blue-collar,single,high.school,no,yes,no,cellular,jul,tue,523,3,nonexistent,93.918,0
27,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,383,1,nonexistent,93.994,0
40,blue-collar,married,basic.9y,no,unknown,unknown,telephone,nov,thu,160,1,nonexistent,93.2,1
31,admin.,married,high.school,no,no,no,telephone,may,mon,220,3,nonexistent,93.994,0
42,blue-collar,divorced,basic.9y,no,no,no,cellular,apr,mon,20,2,nonexistent,93.075,0
40,blue-collar,,basic.6y,no,yes,no,cellular,may,thu,160,4,nonexistent,92.893,0
31,admin.,single,high.school,no,yes,no,cellular,nov,wed,79,1,nonexistent,93.2,0
57,technician,married,basic.4y,unknown,no,no,telephone,jun,thu,243,2,nonexistent,94.465,0
38,admin.,single,high.school,no,yes,no,cellular,apr,thu,,1,success,93.749,1
39,services,married,high.school,unknown,no,no,telephone,may,mon,5,2,nonexistent,93.994,0
37,admin.,divorced,high.school,unknown,yes,yes,telephone,may,wed,354,5,,93.994,0
50,unemployed,married,professional.course,unknown,yes,yes,cellular,jul,thu,225,1,nonexistent,93.918,0
33,blue-collar,single,basic.4y,no,yes,yes,cellular,,thu,460,1,nonexistent,93.075,1
41,blue-collar,married,basic.6y,no,unknown,unknown,telephone,jun,tue,202,1,nonexistent,94.465,0
37,entrepreneur,married,basic.6y,unknown,unknown,,telephone,may,fri,71,1,nonexistent,93.994,0
25,student,single,high.school,no,no,no,cellular,apr,wed,54,1,nonexistent,93.075,0
35,admin.,married,high.school,unknown,no,no,cellular,jul,fri,451,1,nonexistent,93.918,0
46,management,married,university.degree,no,no,no,cellular,jul,mon,662,2,nonexistent,93.918,1
29,admin.,divorced,university.degree,no,no,no,telephone,jun,mon,187,3,nonexistent,94.465,0
35,admin.,married,university.degree,no,yes,no,cellular,aug,thu,82,4,nonexistent,93.444,0
48,entrepreneur,single,professional.course,no,yes,no,cellular,may,wed,606,3,nonexistent,92.893,0
31,self-employed,single,university.degree,no,no,no,cellular,oct,fri,76,1,nonexistent,92.431,0
33,blue-collar,divorced,basic.9y,no,no,yes,telephone,may,thu,18,6,failure,92.893,0
63,retired,divorced,university.degree,no,no,yes,cellular,jul,thu,317,1,failure,92.469,0
38,admin.,married,high.school,no,yes,no,cellular,nov,tue,,2,nonexistent,93.2,0
34,admin.,divorced,high.school,no,no,no,cellular,nov,tue,492,2,success,92.649,0
34,services,divorced,high.school,no,no,no,telephone,jul,thu,212,4,nonexistent,93.918,0
,management,married,university.degree,no,yes,no,telephone,may,wed,267,2,success,93.876,0
27,blue-collar,single,basic.9y,no,yes,no,telephone,may,wed,185,1,nonexistent,93.994,0
24,admin.,single,university.degree,no,no,no,cellular,aug,fri,744,1,failure,94.027,1
36,blue-collar,married,,no,yes,no,cellular,may,wed,499,3,nonexistent,92.893,0
29,services,single,high.school,unknown,no,no,telephone,jun,mon,123,2,nonexistent,94.465,0
58,retired,married,basic.9y,no,yes,no,telephone,jun,mon,198,1,nonexistent,94.465,0
40,technician,married,professional.course,no,no,no,cellular,aug,tue,156,1,nonexistent,93.444,0
31,admin.,single,university.degree,no,yes,no,cellular,aug,thu,98,8,nonexistent,93.444,0
60,retired,married,basic.4y,unknown,no,no,cellular,aug,tue,332,3,nonexistent,93.444,0
58,housemaid,married,basic.4y,unknown,yes,no,telephone,jul,tue,35,1,nonexistent,93.918,0
32,blue-collar,single,basic.9y,no,yes,no,cellular,jul,tue,124,2,nonexistent,93.918,0
54,admin.,divorced,university.degree,no,no,no,telephone,jun,tue,213,4,nonexistent,94.465,0
43,technician,married,professional.course,unknown,yes,no,cellular,aug,mon,145,2,nonexistent,93.444,0
48,retired,married,basic.4y,unknown,no,no,telephone,jun,wed,145,8,nonexistent,94.465,0
33,admin.,married,university.degree,no,yes,no,cellular,nov,thu,195,1,nonexistent,93.2,0
37,blue-collar,married,basic.9y,unknown,no,no,telephone,jul,mon,179,2,nonexistent,93.918,0
35,services,divorced,professional.course,unknown,no,no,telephone,may,wed,184,2,nonexistent,93.994,0
34,services,married,high.school,no,no,no,telephone,may,thu,285,1,nonexistent,93.994,0
30,technician,single,university.degree,no,yes,no,cellular,aug,thu,31,17,nonexistent,93.444,0
38,admin.,married,basic.9y,unknown,yes,no,telephone,jun,mon,306,,nonexistent,94.465,0
29,technician,divorced,professional.course,unknown,yes,no,cellular,may,fri,14,5,failure,92.893,0
49,entrepreneur,married,university.degree,no,yes,no,cellular,apr,mon,334,1,nonexistent,93.075,0
48,management,divorced,university.degree,no,no,no,cellular,aug,fri,117,1,nonexistent,92.201,0
33,management,married,high.school,no,yes,,cellular,jul,wed,155,2,nonexistent,93.918,0
33,admin.,single,university.degree,no,yes,yes,telephone,apr,wed,117,1,nonexistent,93.075,0
,management,married,university.degree,no,no,no,telephone,may,fri,,1,nonexistent,93.994,0
39,admin.,married,university.degree,no,no,no,telephone,jun,tue,102,1,nonexistent,94.465,0
55,entrepreneur,married,university.degree,unknown,yes,yes,cellular,nov,tue,157,2,nonexistent,93.2,0
46,management,married,university.degree,unknown,yes,no,telephone,may,thu,311,3,nonexistent,93.994,0
55,blue-collar,divorced,basic.4y,unknown,no,yes,telephone,jun,tue,115,3,nonexistent,94.465,0
42,entrepreneur,married,university.degree,no,yes,no,cellular,nov,fri,58,1,failure,93.2,0
24,student,,high.school,unknown,yes,no,cellular,may,wed,290,1,failure,92.893,0
49,blue-collar,married,basic.9y,unknown,yes,no,cellular,aug,thu,114,1,nonexistent,93.444,0
38,admin.,married,unknown,no,no,yes,cellular,jul,wed,311,3,nonexistent,,0
34,admin.,married,university.degree,unknown,no,no,cellular,aug,tue,146,1,nonexistent,93.444,0
46,blue-collar,married,basic.4y,unknown,no,no,cellular,jul,fri,111,1,nonexistent,93.918,0
45,technician,married,professional.course,unknown,yes,no,cellular,aug,thu,360,5,nonexistent,93.444,0
40,admin.,married,basic.9y,no,yes,no,cellular,jul,thu,106,4,nonexistent,93.918,0
46,admin.,divorced,basic.9y,unknown,no,no,telephone,may,wed,423,1,nonexistent,93.994,0
31,blue-collar,single,basic.9y,no,no,no,telephone,jun,wed,350,7,nonexistent,94.465,0
57,self-employed,married,basic.9y,unknown,yes,yes,telephone,may,tue,122,1,nonexistent,93.994,0
36,admin.,married,university.degree,no,no,no,cellular,may,mon,91,3,nonexistent,92.893,0
50,technician,married,professional.course,no,unknown,unknown,cellular,nov,tue,319,2,failure,93.2,0
32,admin.,single,high.school,no,yes,yes,cellular,apr,wed,120,1,nonexistent,93.075,0
38,admin.,single,university.degree,no,yes,no,cellular,jul,mon,82,2,,92.469,0
50,admin.,married,university.degree,no,unknown,unknown,cellular,may,wed,801,1,failure,93.876,0
42,blue-collar,married,basic.4y,no,yes,no,telephone,jun,thu,168,2,nonexistent,94.465,0
31,technician,married,professional.course,no,yes,no,cellular,aug,wed,409,2,nonexistent,93.444,0
27,unemployed,single,university.degree,no,yes,no,cellular,jul,tue,120,1,nonexistent,93.918,0
44,self-employed,divorced,high.school,no,yes,no,telephone,jun,mon,123,1,nonexistent,94.465,0
26,housemaid,single,high.school,unknown,yes,yes,telephone,jul,thu,,1,nonexistent,93.918,0
30,blue-collar,single,,unknown,yes,no,cellular,may,thu,340,1,nonexistent,92.893,0
39,self-employed,single,high.school,no,yes,no,cellular,nov,fri,169,1,nonexistent,93.2,0
64,retired,married,unknown,no,no,no,cellular,aug,fri,252,4,nonexistent,92.201,1
36,management,married,university.degree,no,unknown,unknown,cellular,sep,wed,331,1,failure,94.199,1
42,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,wed,191,4,nonexistent,93.994,0
,services,single,high.school,no,no,,cellular,may,thu,122,2,nonexistent,92.893,0
40,admin.,divorced,high.school,no,no,no,cellular,jul,wed,1776,3,nonexistent,93.918,0
34,services,married,high.school,no,no,yes,cellular,may,wed,362,2,failure,92.893,0
31,blue-collar,married,basic.6y,no,yes,yes,telephone,may,thu,237,2,nonexistent,93.994,0
49,admin.,single,university.degree,no,no,no,telephone,may,fri,201,3,nonexistent,93.994,0
35,unemployed,divorced,basic.9y,no,no,no,cellular,jul,thu,169,7,nonexistent,93.918,0
60,admin.,married,unknown,unknown,no,yes,telephone,may,mon,213,2,nonexistent,93.994,0
38,admin.,divorced,basic.9y,no,no,no,cellular,nov,fri,271,1,nonexistent,93.2,0
32,management,married,professional.course,no,no,no,cellular,may,thu,125,1,failure,92.893,0
50,self-employed,married,basic.9y,no,yes,yes,cellular,may,mon,673,6,success,92.893,1
41,admin.,married,university.degree,no,yes,no,cellular,apr,fri,961,6,nonexistent,93.749,1
45,admin.,married,high.school,no,no,no,telephone,may,wed,215,2,nonexistent,,0
46,blue-collar,married,basic.6y,no,no,yes,telephone,jun,tue,179,2,nonexistent,94.465,0
55,unknown,married,basic.4y,unknown,yes,no,telephone,may,mon,336,1,nonexistent,93.994,0
33,technician,divorced,professional.course,no,yes,no,telephone,may,fri,44,1,nonexistent,93.994,0
45,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,223,1,nonexistent,93.994,0
29,blue-collar,married,high.school,no,yes,no,cellular,may,wed,66,1,nonexistent,92.893,0
42,technician,married,high.school,unknown,no,no,cellular,jul,wed,252,2,nonexistent,93.918,0
39,housemaid,married,university.degree,no,yes,no,telephone,may,mon,167,2,nonexistent,93.994,0
58,blue-collar,married,unknown,unknown,yes,no,cellular,jul,thu,180,,nonexistent,93.918,0
32,management,divorced,university.degree,no,yes,no,cellular,jul,tue,,4,nonexistent,93.918,0
44,technician,divorced,professional.course,unknown,yes,no,cellular,apr,thu,18,3,failure,93.075,0
49,self-employed,married,professional.course,no,no,no,telephone,may,fri,374,2,nonexistent,93.994,0
29,blue-collar,married,basic.6y,no,yes,no,cellular,may,thu,108,4,nonexistent,92.893,0
51,management,married,university.degree,no,no,no,telephone,jun,wed,16,17,nonexistent,94.465,0
36,admin.,married,university.degree,no,yes,no,cellular,aug,thu,45,8,nonexistent,93.444,0
23,management,single,university.degree,no,yes,no,cellular,apr,mon,122,1,nonexistent,93.075,1
31,management,single,university.degree,no,yes,no,cellular,,mon,72,1,nonexistent,93.444,0
32,technician,married,unknown,no,yes,no,cellular,jul,fri,107,2,nonexistent,93.918,0
58,self-employed,divorced,professional.course,no,no,no,telephone,jun,thu,197,1,nonexistent,94.465,0
31,services,single,high.school,no,yes,no,cellular,jul,wed,21,20,nonexistent,93.918,0
32,blue-collar,married,professional.course,no,yes,no,cellular,may,fri,160,2,nonexistent,92.893,0
43,unemployed,married,high.school,no,no,no,cellular,aug,thu,319,4,success,92.201,0
48,admin.,divorced,professional.course,no,yes,no,telephone,may,fri,427,3,nonexistent,93.994,0
28,admin.,single,high.school,no,yes,,cellular,jul,thu,270,2,nonexistent,93.918,0
52,services,unknown,professional.course,no,yes,no,telephone,jun,fri,7,2,nonexistent,94.465,0
36,management,married,university.degree,no,no,no,telephone,jun,thu,22,1,nonexistent,94.465,0
39,admin.,divorced,high.school,no,yes,yes,cellular,apr,thu,433,2,nonexistent,93.075,0
39,blue-collar,married,unknown,unknown,yes,no,telephone,jul,tue,49,5,nonexistent,93.918,0
50,management,married,university.degree,no,yes,no,telephone,oct,thu,258,1,failure,92.431,0
29,admin.,single,university.degree,no,yes,no,cellular,nov,fri,190,1,nonexistent,93.2,0
49,technician,divorced,professional.course,no,yes,no,cellular,may,tue,130,3,nonexistent,92.893,0
36,blue-collar,married,basic.6y,no,no,no,cellular,nov,wed,130,1,nonexistent,93.2,0
29,blue-collar,married,basic.9y,unknown,yes,no,cellular,may,thu,182,6,nonexistent,92.893,0
